Timestamp,Do you think the homeless issue in downtown Denver is being handled appropriately? ,Do you think the LGBT Community is treated fairly in America?,Do you think POC are treated fairly in America?,How satisfied are you with the way UCCS has handled COVID?,How satisfied are you with UCCS' preparedness for remote teaching?
2021/05/01 11:50:52 PM CDT,5,6,4,8,6
2021/05/01 11:51:12 PM CDT,4,7,7,7,4
2021/05/01 11:51:34 PM CDT,8,8,8,5,1
2021/05/01 11:51:57 PM CDT,5,7,5,10,6
2021/05/01 11:51:59 PM CDT,3,5,5,8,7
2021/05/01 11:52:44 PM CDT,4,8,8,5,6
2021/05/01 11:54:26 PM CDT,3,4,4,8,5
2021/05/01 11:54:58 PM CDT,6,5,3,7,4
2021/05/01 11:56:34 PM CDT,5,6,9,10,3
2021/05/01 11:56:48 PM CDT,4,7,8,4,8
2021/05/01 11:56:55 PM CDT,6,7,8,3,5
2021/05/01 11:57:02 PM CDT,6,7,8,5,8
2021/05/02 12:32:59 AM CDT,3,3,3,10,7
2021/05/02 12:47:01 AM CDT,5,5,5,5,5
2021/05/02 1:08:34 PM CDT,4,8,8,5,6